#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,実開始日,実終了日,残工数(Lychee),合計残工数(Lychee),プライベート,説明,最新のコメント
168887,MatlabCoDriver,タスク,"","",終了,通常,【フロント】レスポンスメッセージのテキストを変更,Bさん,Bさん,2025/05/27 14:24,"",sprint#9,2025/05/14,2025/05/27,"","",0,2025/05/14 15:14,2025/05/27 14:24,Bさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"「変数定数検索」で出力する結果で
　モデル名：
　要件：
　概要：
としてるとおもいますが、この「モデル名」が正確には違ったそうです。
仕様書名が正しかったみたい？","フロント側で持っているsystemMessageの変更で実装できる。
Function_SendMessageToGPT.cs
589行目の記述を[モデル名]→[仕様書名]にすればよい。"
168886,MatlabCoDriver,タスク,"","",終了,通常,【フロント】定数変数影響調査　ユーザーメッセージを最上部へ移動,Bさん,Bさん,2025/05/27 14:24,"",sprint#9,2025/05/14,2025/05/27,"","",0,2025/05/14 15:13,2025/05/27 14:24,Bさん,"","",2025/05/19,2025/05/27,0.00,0.00,いいえ,"③ 変数影響調査時に変数のアコーディオン画面が長くて、ユーザメッセージにたどり着かない。
これは、ユーザメッセージを一番上に出来ればいいと思います。",""
168885,MatlabCoDriver,タスク,"","",終了,通常,【フロント】仕様からモデルを検索　ユーザーメッセージをプレースホルダーから初期値入力に変更,Bさん,Bさん,2025/05/27 14:24,"",sprint#9,2025/05/14,2025/05/27,"","",0,2025/05/14 15:13,2025/05/27 14:24,Bさん,"","",2025/05/19,2025/05/27,0.00,0.00,いいえ,"② 仕様からのモデル検索を行う際に、「XXという仕様が実装されているモデルは？」をボタン押下時に入力してもらいたい。
  → 操作感だけですが、ボタンを押下した後に「メッセージを入力して」だと何を入力すればいいのかが想像しにくいです。XXの部分だけを変えてもらうようにした方がユーザビリティは高いかと思います。","フロント側のタスクは3つで半日でPG終了見込み。
石田さんがVM使わないタイミングで実施します。"
168852,O-Beya（マルチエージェント）,タスク,"","",終了,通常,pydantic導入に合わせてバックエンドのファイル構成を変更,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/27,"","",0,2025/05/14 13:35,2025/05/27 18:45,Eさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"",2025/05/21 完了
168848,走行制御DRアシスタント,タスク,168846,Azure環境上へのデプロイ,終了,通常,フロントエンド,Fさん,"",2025/05/27 09:42,"",Sprint#10,2025/05/13,2025/05/19,"","",0,2025/05/14 12:59,2025/05/27 09:42,Dさん,"","",2025/05/16,2025/05/27,0.00,0.00,いいえ,"",""
168847,走行制御DRアシスタント,タスク,168846,Azure環境上へのデプロイ,終了,通常,バックエンドAPI,Fさん,"",2025/05/27 09:42,"",Sprint#10,2025/05/13,2025/05/19,"","",0,2025/05/14 12:59,2025/05/27 09:42,Dさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"",""
168846,走行制御DRアシスタント,タスク,"","",終了,通常,Azure環境上へのデプロイ,Fさん,Dさん,2025/05/27 09:42,"",Sprint#10,2025/05/13,2025/05/19,"",0.00,100,2025/05/14 12:59,2025/05/27 09:42,Dさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"",""
168845,業務アシスタント作成検討,タスク,"","",終了,通常,【API化】プロキシサーバ上で利用先を分岐_推論モデル実装,Fさん,Cさん,2025/05/28 16:33,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/14 12:55,2025/05/28 16:33,Cさん,"","",2025/05/26,2025/05/28,0.00,0.00,いいえ,デプロイは本番環境に行う(デプロイスロット作らない),""
168844,業務アシスタント作成検討,タスク,"","",終了,通常,【API化】利用率の見える化_方針確認,Fさん,Fさん,2025/05/28 16:33,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/14 12:55,2025/05/28 16:33,Cさん,"","",2025/05/20,2025/05/28,0.00,0.00,いいえ,"",""
168825,データ化ツール,タスク,"","",進行中,通常,【M365Copilot】ユーザーが利用するときの運用手順書作成,Cさん,Cさん,2025/06/11 16:15,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/14 10:46,"",Cさん,"","",2025/06/11,"","","",いいえ,どういった手順書が必要かの洗い出し。砂古さんにお聞きする。,""
168669,業務アシスタント作成検討,タスク,"","",終了,通常,【汎用アプリ】コンテンツフィルタ発生時のエラー表示改善_MSにSR,Fさん,Dさん,2025/06/02 18:57,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/13 18:25,2025/06/02 18:57,Cさん,"","",2025/05/21,2025/06/02,0.00,0.00,いいえ,"下記の様なエラー表示に改善
「コンテンツフィルター(Violence)に引っかかってしまいました。問い合わせ文言を変えてお試しください」","SR回答

・コンテンツフィルターにブロックされた応答内容は確認できない
・ストリーミングならブロック直前の文章までなら確認可
・分類モデルは随時更新されるが、更新内容は非公開"
168390,データ化ツール,タスク,"","",終了,通常, M365Copilotの仕組みを説明資料作成,Cさん,Cさん,2025/05/16 16:09,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/05/13 12:48,2025/05/16 16:09,Cさん,"","",2025/05/13,2025/05/16,0.00,0.00,いいえ,大西さんに5/15にご説明,""
168316,O-Beya（マルチエージェント）,タスク,168311,durable functions の処理をfunction_app.pyから分離,終了,通常,実装,Eさん,Gさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/13 10:24,2025/05/27 18:45,Eさん,"","",2025/05/15,2025/05/27,0.00,0.00,いいえ,"",""
168315,O-Beya（マルチエージェント）,タスク,168311,durable functions の処理をfunction_app.pyから分離,終了,通常,ファイル構成検討,Eさん,Gさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/13 10:24,2025/05/27 18:45,Eさん,"","",2025/05/15,2025/05/27,0.00,0.00,いいえ,"",""
168314,O-Beya（マルチエージェント）,タスク,168311,durable functions の処理をfunction_app.pyから分離,終了,通常,技術検証,Eさん,Gさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/13 10:23,2025/05/27 18:45,Eさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"",""
168311,O-Beya（マルチエージェント）,タスク,"","",終了,通常,durable functions の処理をfunction_app.pyから分離,Eさん,Gさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"",0.00,100,2025/05/13 10:19,2025/05/27 18:45,Eさん,"","",2025/05/14,2025/05/27,0.00,0.00,いいえ,"function_app.pyはフロントエンドから呼び出せるAPI一覧レベルにしたい
OrchestratorやActivityをfunction_app.pyから分離して別ファイルに記述
参考：ブループリント
https://learn.microsoft.com/ja-jp/azure/azure-functions/functions-reference-python?tabs=get-started%2Casgi%2Capplication-level&pivots=python-mode-decorators#blueprints",""
168157,データ化ツール,タスク,"","",終了,通常,【Docデータ化】リソース作成準備,Iさん,"",2025/05/21 16:52,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/05/12 10:58,2025/05/21 16:52,Iさん,"","",2025/05/21,2025/05/21,0.00,0.00,いいえ,"",""
168109,データ化ツール,タスク,"","",終了,通常,【Docデータ化】画面_PG(もろもろ),Bさん,Bさん,2025/06/02 09:45,"",Sprint#4,2025/05/28,2025/06/10,"",0.00,100,2025/05/12 09:06,2025/06/02 09:45,Kさん,"","",2025/05/29,2025/06/02,0.00,0.00,いいえ,I/Fが未確定のため見た目だけのPGを先行着手,一時ストップ中。分類結果json保存が完了次第再開。
168108,データ化ツール,タスク,"","",終了,通常,【Docデータ化】画面_チャット画面_PG,Bさん,"",2025/05/21 16:52,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/05/12 09:06,2025/05/21 16:52,Iさん,"","",2025/05/12,2025/05/21,0.00,0.00,いいえ,I/Fが未確定のため見た目だけのPGを先行着手,""
167630,走行制御DRアシスタント,タスク,165238,【CosmosDBでのドキュメント検索】専用API構築,終了,通常,Webアプリからリクエスト送信,Hさん,Hさん,2025/05/27 09:41,"",Sprint#10,2025/04/22,2025/05/12,"","",0,2025/05/09 13:54,2025/05/27 09:41,Dさん,"","",2025/05/13,2025/05/27,0.00,0.00,いいえ,"","ベクトル検索結果の動作確認用画面作成。
プルリク済"
167597,走行制御DRアシスタント,課題,"","",終了,通常,webアプリ_UI検討,Hさん,Dさん,2025/05/27 09:42,"",Sprint#10,2025/05/13,2025/05/19,"","",0,2025/05/09 11:38,2025/05/27 09:42,Dさん,"","",2025/05/16,2025/05/27,0.00,0.00,いいえ,"■要求→要件→変化点
 
　どこまで見据える？
　・変化点を起点にするか？（要求と要件は入力しない）
　・要求と要件も入力し、将来的に活用できるデータとしてためるか。

■影響あり
　→問題なし
　　問題あり→これが課題

　★問題ありなし画面の記載内容は未決。
　　書く内容にばらつきが出そう

■3軸バラシのレビュー
　・チームレビュー
　・グループレビュー
　で終了
 
　グループによってレビュー体制は異なるので、DR1, DR2とかでよさそう

■現状、影響なしの場合は、理由を書いていない。
　アプリ化して今までにない作業が増えるのは避けるべき
 ","資料作成中
16日午前までに完成見込み"
167564,O-Beya（マルチエージェント）,タスク,"","",終了,通常,フロントエンドリファクタ方針をCAPTメンバーに相談,Eさん,"",2025/05/16 11:06,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/09 11:12,2025/05/16 11:06,Eさん,"","",2025/05/09,2025/05/16,0.00,0.00,いいえ,益田さんに相談,"**カスタムフックを使うべきか**
⇒色んなコンポーネントで使いまわしたい場合はカスタムフックを使用
 
　コードの責務分離の目的でも良い
　　　カスタムフックでも関数でも好みで（既に関数に分離しているのならカスタムフックにしなくても良い）
 
**State毎にReduxを導入するかどうか**
⇒これを考える前に、複数のStateを1つにまとめたほうが良い
参考：https://teams.microsoft.com/l/message/19:edecde6b9c0a4cd5be29eaaf3885162b@thread.v2/1746695169787?context=%7B%22contextType%22%3A%22chat%22%7D
 
 
**ポーリングはカスタムフックよりuseSWRを使ったほうが良い？**
⇒useSWRはfetchしてきたものをキャッシュするためのもの"
167547,O-Beya（マルチエージェント）,タスク,"","",終了,通常,フロントエンド reduxを導入する範囲の再検討&修正,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/04/16,2025/05/27,"",0.00,100,2025/05/09 10:51,2025/05/27 18:45,Eさん,"","",2025/04/23,2025/05/27,0.00,0.00,いいえ,"",2025/05/21 ドキュメント更新を除いて完了
167542,O-Beya（マルチエージェント）,タスク,"","",終了,通常,フロントエンド ロジック、データとビューの分離 続き,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/09 10:47,2025/05/27 18:45,Eさん,"","",2025/05/16,2025/05/27,0.00,0.00,いいえ,"",2025/05/21 完了
167420,走行制御DRアシスタント,タスク,"","",終了,通常,Excelを読み込んでJsonファイルに書き出すツール作成,Dさん,Dさん,2025/05/13 14:25,"",Sprint#9,2025/04/22,2025/05/12,"","",0,2025/05/09 09:20,2025/05/13 14:25,Dさん,"","","",2025/05/13,0.00,0.00,いいえ,作成したCosmosDBコンテナに3軸ばらしのデータを格納するためのツール,""
166809,走行制御DRアシスタント,タスク,165238,【CosmosDBでのドキュメント検索】専用API構築,終了,通常,cosmosDB_API作成(ベクトル検索処理),Hさん,Hさん,2025/05/27 09:41,"",Sprint#10,2025/04/22,2025/05/12,"","",0,2025/05/08 15:57,2025/05/27 09:41,Dさん,"","",2025/05/08,2025/05/27,0.00,0.00,いいえ,"","プルリク済
動作確認レベルの実装まで完了。今後リファクタ"
166359,データ化ツール,タスク,"","",新規,通常,【Docデータ化】Durable Function化,Iさん,"",2025/06/17 09:37,"","",2025/05/08,"","","",0,2025/05/08 09:24,"","","","","","","","",いいえ,"",""
166358,データ化ツール,タスク,"","",終了,通常,【Docデータ化】システム構成図,Iさん,Iさん,2025/05/21 16:51,"",Sprint#2,2025/04/16,2025/04/25,"","",100,2025/05/08 09:22,2025/05/21 16:51,Iさん,"","",2025/05/08,2025/05/21,0.00,0.00,いいえ,"","キュートリガーとDBトリガーでご提案しましたが、
Durable Functionsの方が良いとなった。
現時点では簡単なロジックとし、
将来的にはDurable Functions化するため別チケット化
本チケットはクローズ"
166289,走行制御DRアシスタント,タスク,"","",終了,通常,AGW設定,Dさん,Dさん,2025/05/27 09:42,"",Sprint#10,2025/04/22,2025/05/12,"","",0,2025/05/07 18:00,2025/05/27 09:42,Dさん,"","",2025/05/07,2025/05/27,0.00,0.00,いいえ,"","5/14 実施予定
権限付与依頼済み"
166288,走行制御DRアシスタント,タスク,166286,Azureリソース作成,終了,通常,Azure Functions,Dさん,Dさん,2025/05/13 14:25,"",Sprint#9,2025/04/22,2025/05/12,"","",0,2025/05/07 18:00,2025/05/13 14:25,Dさん,"","",2025/05/07,2025/05/13,0.00,0.00,いいえ,"",""
166287,走行制御DRアシスタント,タスク,166286,Azureリソース作成,終了,通常,CosmosDB,Dさん,Dさん,2025/05/13 14:25,"",Sprint#9,2025/04/22,2025/05/12,"","",0,2025/05/07 18:00,2025/05/13 14:25,Dさん,"","",2025/05/07,2025/05/13,0.00,0.00,いいえ,"",""
166286,走行制御DRアシスタント,タスク,"","",終了,通常,Azureリソース作成,Dさん,Dさん,2025/05/13 14:25,"",Sprint#9,2025/04/22,2025/05/12,"",0.00,100,2025/05/07 17:59,2025/05/13 14:25,Dさん,"","",2025/05/07,2025/05/13,0.00,0.00,いいえ,"",""
166081,データ化ツール,タスク,165614,【M365copilot】老朽更新後の新端末動作確認,終了,通常,砂古さん上野さんに確認,Fさん,"",2025/05/14 11:37,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/05/07 10:52,2025/05/14 11:37,Cさん,"","",2025/05/13,2025/05/14,0.00,0.00,いいえ,"",""
166079,データ化ツール,タスク,165412,【M365Copilot】クラウドflow作成,終了,通常,Teamsの投稿先を砂古さんに確認,Fさん,"",2025/05/16 16:10,"",Sprint#3,2025/05/14,2025/05/27,"","",0,2025/05/07 10:51,2025/05/16 16:10,Cさん,"","",2025/05/13,2025/05/16,0.00,0.00,いいえ,"投稿先
https://teams.microsoft.com/l/channel/19%3A1d91d6e7cc2a49fb9a3e39bff5409575%40thread.tacv2/%E3%80%90%E5%B0%82%E9%96%80%E5%AE%B6%E3%83%8A%E3%83%AC%E3%83%83%E3%82%B8%E5%9B%9E%E7%AD%94%E3%80%91?groupId=9ccae575-521b-47d9-8a00-89e7ac83664f&tenantId=d1c1335e-f582-42a9-b6fe-5e1a16eb9bc8&ngc=true","一度以前のチャンネルへの投稿
　・投稿された内容を人が確認して個人情報が含まれないか確認できる仕組み

将来的には個人チャットに投稿
"
165767,データ化ツール,タスク,"","",終了,通常,【Docデータ化】画面_Redux化導入,Bさん,Bさん,2025/05/21 16:50,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/04/28 10:43,2025/05/21 16:50,Iさん,"","",2025/04/28,2025/05/21,0.00,0.00,いいえ,益田のレビュ待ち,""
165643,O-Beya（マルチエージェント）,タスク,"","",終了,通常,スルーテストで見つかったバグの対応,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/04/25 10:42,2025/05/27 18:45,Eさん,"","",2025/04/28,2025/05/27,0.00,0.00,いいえ,"",2025/5/13 レビュー完了
165614,データ化ツール,タスク,"","",終了,通常,【M365copilot】老朽更新後の新端末動作確認,Fさん,Cさん,2025/05/14 11:37,"",Sprint#2,2025/04/16,2025/04/25,"",0.00,100,2025/04/25 09:10,2025/05/14 11:37,Cさん,"","",2025/05/13,2025/05/14,0.00,0.00,いいえ,"","作業者のアカウント(石田)でログイン後、
ネットワーク接続が出来ず、M365ログインができない。
⇒ ユーザ側では問題ない、原因不明
"
165412,データ化ツール,タスク,"","",終了,通常,【M365Copilot】クラウドflow作成,Cさん,Cさん,2025/05/16 16:10,"",Sprint#3,2025/05/14,2025/05/27,"",0.00,100,2025/04/24 11:49,2025/05/16 16:10,Cさん,"","",2025/05/13,2025/05/16,0.00,0.00,いいえ,"",環境変数にプロキシ設定をして通信を確認
165411,データ化ツール,タスク,"","",終了,通常,【M365Copilot】砂古さん(teams投稿主)のpower platform申請,Cさん,"",2025/05/14 11:38,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/04/24 11:46,2025/05/14 11:38,Cさん,"","",2025/05/07,2025/05/14,0.00,0.00,いいえ,teams投稿主がflowを最終的にに公開する必要があるので、砂古さんに今後してもらう必要あり(急ぎではない),5/7 砂古さんに登録依頼案内
165409,データ化ツール,タスク,"","",終了,通常,【M365Copilot】EntraID認証,Cさん,"",2025/05/07 10:49,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/04/24 11:41,2025/05/07 10:49,Fさん,"","",2025/05/07,2025/05/07,0.00,0.00,いいえ,"EntraIDを登録。アクセストークン、キーをHTTP通信するときに必要になる。
以前CAPTで申請したものが余っている
申請必要なし。",""
165300,走行制御DRアシスタント,課題,"","",終了,通常,ユーザ展開時にはindexNameを走行制御に変更,Fさん,Hさん,2025/05/27 09:42,"",Sprint#10,2025/04/22,2025/05/12,"","",0,2025/04/23 18:39,2025/05/27 09:42,Dさん,"","",2025/05/15,2025/05/27,0.00,0.00,いいえ,"開発時にはTS試行環境を指定。
ユーザ展開時にはindexNameを走行制御のものに変える必要があり。",""
165277,O-Beya（マルチエージェント）,課題,"","",新規,通常,課題：読み込みに時間がかかる,Eさん,"",2025/04/24 14:04,"","",2025/04/16,2025/04/25,"","",0,2025/04/23 15:57,"",Fさん,"","","","","","",いいえ,画面を開いてすぐにTemplateタブを押すとエラーになる,""
165263,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【設計】空フォーマットマトリクスへの転記処理の作成,Aさん,Lさん,2025/05/29 17:53,"",Sprint♯24,2025/05/07,2025/05/27,"","",100,2025/04/23 15:26,2025/05/29 17:53,Aさん,"","",2025/05/15,2025/05/29,0.00,0.00,いいえ,"Goal:
・以下をまとめる
　・どんな修正して
　・どんな結果が確認できるところを目指すか

※転記処理時の体裁整形処理は除く","5/26
転記の実装部分：新たに定義した変数名や扱い方などを確認中。
　　　　　　　　新たに追加した行・列のフォントを元のフォーマットと統一する作業が発生：未実施
ファイル名変更部分：blob保存時に付与される文字列をどうするか確認中。
"
165262,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【実装】画面からベースマトリクスのInputを削除,Aさん,Pさん,2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"","",0,2025/04/23 15:19,2025/06/17 12:47,Aさん,"","",2025/06/04,2025/06/17,0.00,0.00,いいえ,"Goal：
・ベースマトリクスのInput領域が画面から削除されること
・画面からのInput情報が、要件定義書とI/F定義書のみで処理が開始されること
・ベースマトリクスの情報がBlobに登録されないこと",""
165261,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_GPT4.1の導入,Aさん,Lさん,2025/05/15 17:54,"",Sprint♯24,2025/05/07,2025/05/20,"","",100,2025/04/23 15:18,2025/05/15 17:54,Oさん,"","",2025/05/07,2025/05/15,0.00,0.00,いいえ,"Goal：
・問い合わせ方が今までと同じかどうかの調査
・Json Structureモードが使えるかどうかの調査
　↓
・上記どちらもOKであれば、GPT4.1をデプロイ（エンドポイント：https://oai-mbd-process.openai.azure.com/）
・動作確認",5/9 デプロイ・動作確認完了
165260,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【実装】キュートリガー内処理エラー時のエラーメッセージ画面表示対応,Aさん,Pさん,2025/05/22 16:57,"",Sprint♯24,2025/05/07,2025/05/20,"","",0,2025/04/23 15:18,2025/05/22 16:57,Aさん,"","",2025/05/08,2025/05/22,0.00,0.00,いいえ,Goal：修正し、developへマージ,""
165259,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【修正】項目名情報リストを各プロンプトへ反映できるよう修正,Aさん,Aさん,2025/05/29 17:53,"",Sprint♯24,2025/05/07,2025/05/20,"",0.00,100,2025/04/23 15:17,2025/05/29 17:53,Aさん,"","",2025/05/15,2025/05/29,0.00,0.00,いいえ,"",""
165258,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【実装】項目名情報リスト作成用関数の作成,Aさん,Aさん,2025/05/29 17:53,"",Sprint♯24,2025/05/07,2025/05/20,"",0.00,100,2025/04/23 15:16,2025/05/29 17:53,Aさん,"","",2025/05/15,2025/05/29,0.00,0.00,いいえ,"",""
165246,O-Beya（マルチエージェント）,タスク,"","",終了,通常,リリース作業,Eさん,"",2025/05/27 18:46,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/04/23 14:00,2025/05/27 18:46,Eさん,"","",2025/05/27,2025/05/27,0.00,0.00,いいえ,5/27(火),5/27(火) リリース完了
165238,走行制御DRアシスタント,タスク,"","",終了,通常,【CosmosDBでのドキュメント検索】専用API構築,Fさん,"",2025/05/27 09:42,"",Sprint#10,2025/04/22,2025/05/12,"",0.00,100,2025/04/23 13:59,2025/05/27 09:42,Dさん,"","",2025/05/08,2025/05/27,0.00,0.00,いいえ,"",DBはpydantic使う。
165234,走行制御DRアシスタント,タスク,"","",終了,通常,【CosmosDBでのドキュメント検索】CosmosDB構築,Fさん,"",2025/05/13 14:26,"",Sprint#9,2025/04/22,2025/05/12,"","",0,2025/04/23 13:55,2025/05/12 14:31,Dさん,"","",2025/04/25,2025/05/12,0.00,0.00,いいえ,"",""
165184,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【リソース作成】AGW設定_Functions,Oさん,Lさん,2025/05/14 13:34,"",Sprint♯24,2025/05/07,2025/05/20,"","",100,2025/04/23 11:17,2025/05/14 13:34,Oさん,"","",2025/05/09,2025/05/14,0.00,0.00,いいえ,Goal：AGWの設定（ローカルでの動作確認まで。）,5/12 ソースデプロイ前確認OK。
165183,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【リソース作成】AGW設定_AppService,Oさん,Lさん,2025/05/14 13:34,"",Sprint♯24,2025/05/07,2025/05/20,"","",100,2025/04/23 11:17,2025/05/14 13:34,Oさん,"","",2025/05/09,2025/05/14,0.00,0.00,いいえ,Goal：AGWの設定（ローカルでの動作確認まで。）,"5/12 ソースデプロイ前確認OK。
※スタートアップコマンドを設定していたことによりエラー発生したので、外して通信確認。デプロイ時に再度設定必要。"
165181,業務アシスタント作成検討,課題,163874,【API化】課題）APIの利用負荷を利用者毎に確認できるか,終了,通常,TPMの仕様確認,Fさん,Cさん,2025/05/14 12:51,"",sprint#46,2025/04/15,2025/04/25,"","",0,2025/04/23 11:14,2025/05/14 12:51,Fさん,"","",2025/04/24,2025/05/14,0.00,0.00,いいえ,"",""
165179,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【リソース作成】リソース作成実施_AppService,Oさん,Lさん,2025/05/07 13:48,"",Sprint♯23,2025/04/16,2025/04/25,"","",100,2025/04/23 11:13,2025/05/07 13:48,Oさん,"","",2025/04/23,2025/05/07,0.00,0.00,いいえ,Goal：専用アプリに必要なリソースが作成できること（対象：AppService）※AGW以外,"5/7
・環境変数にFUNTION_URIという変数を足す必要がありそうだったが、既存EVマトリクスが動いているリソースに存在していなかったので、今回も設定なしとした。
・スタートアップコマンドも既存をまねて設定済み。"
165178,走行制御DRアシスタント,タスク,"","",終了,通常,Webアプリから汎用アプリAPIを呼び出す機能の実装,Dさん,Hさん,2025/05/13 09:25,"",Sprint#9,2025/04/22,2025/05/12,"","",0,2025/04/23 11:09,2025/05/13 09:25,Dさん,"","",2025/04/23,2025/05/13,0.00,0.00,いいえ,与えられた変化点から影響点を列挙する,レビュ済み、問題なし。
164997,業務アシスタント-制御設計サポートAI,タスク,162494,No25_【リソース作成】リソース作成準備,終了,通常,AppService側の各種設定値まとめ作成,Lさん,"",2025/04/24 16:06,"",Sprint♯23,2025/04/16,2025/04/29,"","",100,2025/04/22 13:41,2025/04/24 16:06,Aさん,"","",2025/04/22,2025/04/24,0.00,0.00,いいえ,"","2025/4/23 Appプラン確定
ASP-assistant-chatbot-001（既存プランを使用する）
ただし、スケールアップする。（premium v3 P2V3）"
164949,O-Beya（マルチエージェント）,タスク,163531,開発課題：何のファイルをどのフォルダに集めるか、ルールが決まっていない（フロントエンド）,終了,通常,新規テーマ作成の仕組み変更,Eさん,Eさん,2025/05/14 13:00,"",Sprint#19,2025/04/16,2025/04/25,"","",0,2025/04/22 10:49,2025/05/14 13:00,Eさん,"","",2025/04/23,2025/05/14,0.00,0.00,いいえ,"後の改修を実施しやすくするための改修
現状：新規テーマ用の会話画面に遷移 ⇒ **submitボタンを押したら新規テーマIDを割り当て** ⇒ 新規テーマ登録
変更後：**新規テーマ用ID割当**（この時点では未登録） ⇒ 未登録テーマIDの会話画面に遷移 ⇒ submitボタンを押したら新規テーマ登録",""
164948,データ化ツール,タスク,"","",終了,通常,【Docデータ化】事前準備_サンプル取扱ルール決定→認識合わせ,Kさん,Iさん,2025/05/21 16:50,"",Sprint#2,2025/04/16,2025/04/25,"","",0,2025/04/22 10:46,2025/05/21 16:50,Iさん,"","",2025/04/24,2025/05/21,0.00,0.00,いいえ,"",清書中です。終わり次第展開
164928,O-Beya（マルチエージェント）,タスク,163548,Redux導入のIVISレビュー,終了,通常,CosmosDBからバグデータ削除,Eさん,Dさん,2025/05/14 13:00,"",Sprint#19,2025/04/16,2025/04/25,"","",0,2025/04/22 10:08,2025/05/14 13:00,Eさん,"","",2025/04/23,2025/05/14,0.00,0.00,いいえ,Staging環境のCosmosDB,""
164923,O-Beya（マルチエージェント）,タスク,163531,開発課題：何のファイルをどのフォルダに集めるか、ルールが決まっていない（フロントエンド）,終了,通常,動作確認内容検討,Eさん,Eさん,2025/05/14 13:00,"",Sprint#19,2025/04/16,2025/04/25,"","",0,2025/04/22 09:54,2025/05/14 13:00,Eさん,"","",2025/04/23,2025/05/14,0.00,0.00,いいえ,push前に実施する、簡単な動作確認,"- Themesリンクをクリックしてテーマ一覧を開く
- 新規テーマで会話画面を開く
- テンプレートの推論を実行
- 既存のテーマ1つの会話画面を開く
- エージェントをドラッグ&ドロップで選択したり戻したりできる
- セッションの推論を実行
- 議事録(テーマ全体サマリ）の推論を実行
- 単語検索を実行
- ツリーから過去のセッションを選ぶ（会話履歴が更新されることを確認）"
164914,O-Beya（マルチエージェント）,タスク,167547,フロントエンド reduxを導入する範囲の再検討&修正,終了,通常,どのstateをreduxで管理する必要があるか検討,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/04/16,2025/05/27,"","",0,2025/04/22 09:29,2025/05/27 18:45,Eさん,"","",2025/04/23,2025/05/27,0.00,0.00,いいえ,"",2025/05/21 完了
164898,O-Beya（マルチエージェント）,課題,167547,フロントエンド reduxを導入する範囲の再検討&修正,終了,通常,Reduxの導入が不要なstateはuseStateに戻す,Eさん,Eさん,2025/05/27 18:45,"",Sprint#20,2025/04/16,2025/05/27,"","",0,2025/04/22 08:58,2025/05/27 18:45,Eさん,"","",2025/05/20,2025/05/27,0.00,0.00,いいえ,"Reduxを導入するとstateがグローバルで管理されるため、ページ遷移してもリセットされない
　⇒　stateをリセットするコードを書かないと、バグになる",2025/05/21 完了
164847,業務アシスタント-制御設計サポートAI,タスク,158468,No25_【実装】項目名作成用ファイルの読み出し関数の作成,終了,通常,関連部分処理修正,Aさん,"",2025/05/29 17:52,"",Sprint♯24,2025/04/16,2025/04/29,"","",100,2025/04/21 17:59,2025/05/29 17:52,Aさん,"","",2025/04/30,2025/05/29,0.00,0.00,いいえ,"Goal：
項目名情報取得用関数の引数に合ったものを渡せるような処理であること。
　…引数として該当関数に渡すものが変わるため、前処理部分の修正を行う。",""
